p,d,q,P,D,Q,AIC,BIC,order,seasonal_order
0,2,1,2,1,1,233.3179899404992,234.83091540546943,"(0, 2, 1)","(2, 1, 1, 12)"
0,2,2,2,1,1,233.64703194418433,235.4625425021486,"(0, 2, 2)","(2, 1, 1, 12)"
0,0,1,2,1,2,233.69866321895876,235.51417377692303,"(0, 0, 1)","(2, 1, 2, 12)"
2,1,0,0,2,1,234.02698826141642,235.2373286333926,"(2, 1, 0)","(0, 2, 1, 12)"
1,0,1,1,2,1,234.58375643041234,236.09668189538257,"(1, 0, 1)","(1, 2, 1, 12)"
1,1,0,0,2,1,234.91728590879524,235.82504118777737,"(1, 1, 0)","(0, 2, 1, 12)"
2,0,0,1,2,1,234.93533997263188,236.44826543760212,"(2, 0, 0)","(1, 2, 1, 12)"
0,1,0,1,2,1,234.95062405392477,235.8583793329069,"(0, 1, 0)","(1, 2, 1, 12)"
2,0,1,0,2,1,235.3353792373188,236.84830470228903,"(2, 0, 1)","(0, 2, 1, 12)"
2,0,1,1,2,0,236.00901470212074,237.52194016709097,"(2, 0, 1)","(1, 2, 0, 12)"
2,0,2,1,2,0,236.10441589466743,237.9199264526317,"(2, 0, 2)","(1, 2, 0, 12)"
2,0,0,1,2,0,236.16077737552808,237.37111774750426,"(2, 0, 0)","(1, 2, 0, 12)"
1,1,0,1,2,1,236.84967118691605,238.06001155889223,"(1, 1, 0)","(1, 2, 1, 12)"
0,2,0,2,1,1,237.10527689514845,238.31561726712462,"(0, 2, 0)","(2, 1, 1, 12)"
2,0,1,1,2,1,237.33346199080603,239.1489725487703,"(2, 0, 1)","(1, 2, 1, 12)"
1,1,0,1,2,0,239.24505579640663,240.15281107538877,"(1, 1, 0)","(1, 2, 0, 12)"
1,1,1,1,2,0,239.82022176904186,241.03056214101804,"(1, 1, 1)","(1, 2, 0, 12)"
1,1,2,1,2,0,240.68792053269772,242.20084599766795,"(1, 1, 2)","(1, 2, 0, 12)"
0,2,1,1,2,0,242.0962444463438,243.00399972532594,"(0, 2, 1)","(1, 2, 0, 12)"
0,2,0,1,2,0,242.9968223769088,243.6019925628969,"(0, 2, 0)","(1, 2, 0, 12)"
0,0,0,1,1,2,245.16001292653647,246.75159401772996,"(0, 0, 0)","(1, 1, 2, 12)"
0,2,2,1,2,0,245.18172600327995,246.39206637525612,"(0, 2, 2)","(1, 2, 0, 12)"
0,0,0,0,1,2,246.00649901723378,247.2001848356289,"(0, 0, 0)","(0, 1, 2, 12)"
0,0,0,2,1,2,246.67521662610474,248.6646929900966,"(0, 0, 0)","(2, 1, 2, 12)"
0,1,2,2,1,0,247.0759869847664,249.06546334875824,"(0, 1, 2)","(2, 1, 0, 12)"
2,0,1,1,1,2,247.10136283590302,249.21945848686133,"(2, 0, 1)","(1, 1, 2, 12)"
0,1,2,2,1,1,248.50731245684375,250.89468409363397,"(0, 1, 2)","(2, 1, 1, 12)"
0,1,1,2,1,0,248.69470932138293,250.28629041257642,"(0, 1, 1)","(2, 1, 0, 12)"
1,0,2,2,1,0,248.73167033087364,251.11904196766386,"(1, 0, 2)","(2, 1, 0, 12)"
1,0,0,2,1,1,249.01490577751292,251.00438214150478,"(1, 0, 0)","(2, 1, 1, 12)"
0,1,0,2,1,0,249.07278638917904,250.26647220757417,"(0, 1, 0)","(2, 1, 0, 12)"
1,0,0,1,1,2,249.24771876140437,251.23719512539623,"(1, 0, 0)","(1, 1, 2, 12)"
1,0,0,0,1,2,249.33019912801424,250.92178021920773,"(1, 0, 0)","(0, 1, 2, 12)"
1,0,1,2,1,0,249.54125810272745,251.5307344667193,"(1, 0, 1)","(2, 1, 0, 12)"
0,1,1,2,1,1,250.28198995479866,252.27146631879052,"(0, 1, 1)","(2, 1, 1, 12)"
1,0,2,2,1,1,250.61036249450098,253.39562940408956,"(1, 0, 2)","(2, 1, 1, 12)"
1,0,0,2,1,2,250.87318822395537,253.2605598607456,"(1, 0, 0)","(2, 1, 2, 12)"
2,0,0,1,1,2,251.17468753210665,253.56205916889687,"(2, 0, 0)","(1, 1, 2, 12)"
2,0,0,0,1,2,251.2466665833296,253.23614294732147,"(2, 0, 0)","(0, 1, 2, 12)"
1,0,1,2,1,1,251.40153004785907,253.7889016846493,"(1, 0, 1)","(2, 1, 1, 12)"
1,0,0,2,1,0,251.9994474613807,253.5910285525742,"(1, 0, 0)","(2, 1, 0, 12)"
0,1,0,2,1,1,252.37292578673765,253.96450687793114,"(0, 1, 0)","(2, 1, 1, 12)"
0,0,0,0,2,1,253.2038817646931,253.99967231028984,"(0, 0, 0)","(0, 2, 1, 12)"
0,0,0,1,2,1,254.19188656996897,255.3855723883641,"(0, 0, 0)","(1, 2, 1, 12)"
1,0,0,0,2,1,255.0460973713586,256.2397831897537,"(1, 0, 0)","(0, 2, 1, 12)"
1,0,0,1,2,1,256.2790223143684,257.87060340556184,"(1, 0, 0)","(1, 2, 1, 12)"
2,0,0,0,2,1,256.806547619291,258.39812871048446,"(2, 0, 0)","(0, 2, 1, 12)"
1,0,2,1,2,0,257.4692995909458,259.45877595493766,"(1, 0, 2)","(1, 2, 0, 12)"
1,0,0,1,2,0,258.5834634808868,259.7771492992819,"(1, 0, 0)","(1, 2, 0, 12)"
0,1,0,1,2,0,259.3503372754773,260.146127821074,"(0, 1, 0)","(1, 2, 0, 12)"
1,0,1,1,2,0,259.53881269186826,261.1303937830617,"(1, 0, 1)","(1, 2, 0, 12)"
0,1,1,1,2,0,262.3511952202305,263.54488103862565,"(0, 1, 1)","(1, 2, 0, 12)"
0,1,2,1,2,0,262.7932997774599,264.3848808686534,"(0, 1, 2)","(1, 2, 0, 12)"
0,0,0,2,1,1,266.8920819045516,268.8317085037036,"(0, 0, 0)","(2, 1, 1, 12)"
2,0,1,2,1,2,269.38614074732016,271.8068214912725,"(2, 0, 1)","(2, 1, 2, 12)"
1,2,2,2,0,1,270.92613910955015,278.23779617361413,"(1, 2, 2)","(2, 0, 1, 12)"
0,0,1,2,1,1,275.8901837284019,278.3147169773419,"(0, 0, 1)","(2, 1, 1, 12)"
0,0,0,2,1,0,279.84862214506364,281.30334209442765,"(0, 0, 0)","(2, 1, 0, 12)"
0,0,1,2,1,0,280.0992688975206,282.0388954966726,"(0, 0, 1)","(2, 1, 0, 12)"
0,0,2,1,2,0,280.1587861860547,282.09841278520673,"(0, 0, 2)","(1, 2, 0, 12)"
0,0,1,1,2,0,280.17789866017614,281.63261860954015,"(0, 0, 1)","(1, 2, 0, 12)"
0,0,0,1,2,0,280.52207492312374,281.49188822269974,"(0, 0, 0)","(1, 2, 0, 12)"
0,0,2,2,1,1,281.529880124778,284.439320023506,"(0, 0, 2)","(2, 1, 1, 12)"
0,0,2,2,1,0,282.1977302558497,284.6222635047897,"(0, 0, 2)","(2, 1, 0, 12)"
2,2,2,1,0,2,432.2646414046235,439.820153237955,"(2, 2, 2)","(1, 0, 2, 12)"
0,2,2,0,0,2,433.34729807802813,438.06949297386035,"(0, 2, 2)","(0, 0, 2, 12)"
2,2,2,2,0,2,433.92121211269415,442.4211629251921,"(2, 2, 2)","(2, 0, 2, 12)"
0,2,2,1,0,2,434.9515874312043,440.61822130620294,"(0, 2, 2)","(1, 0, 2, 12)"
0,2,2,0,1,1,435.13635333688666,438.9141092535524,"(0, 2, 2)","(0, 1, 1, 12)"
2,2,2,1,1,1,436.45883582280106,443.0699086769661,"(2, 2, 2)","(1, 1, 1, 12)"
0,2,2,2,0,2,436.8805077571962,443.49158061136126,"(0, 2, 2)","(2, 0, 2, 12)"
0,2,2,1,1,1,436.98750758781495,441.70970248364716,"(0, 2, 2)","(1, 1, 1, 12)"
2,2,2,0,1,1,439.23871775586036,444.905351630859,"(2, 2, 2)","(0, 1, 1, 12)"
2,2,2,0,0,2,440.014394262457,446.6254671166221,"(2, 2, 2)","(0, 0, 2, 12)"
1,2,2,0,0,2,444.29752821138686,449.9641620863855,"(1, 2, 2)","(0, 0, 2, 12)"
1,2,2,1,0,2,444.46165350363776,451.0727263578028,"(1, 2, 2)","(1, 0, 2, 12)"
2,1,2,0,0,2,445.79574747254424,452.7658733874222,"(2, 1, 2)","(0, 0, 2, 12)"
1,2,2,2,0,2,446.4239007697926,453.97941260312416,"(1, 2, 2)","(2, 0, 2, 12)"
1,2,2,0,1,1,447.1229220232165,451.84511691904873,"(1, 2, 2)","(0, 1, 1, 12)"
2,1,2,1,0,2,447.7957306039582,455.7615887923901,"(2, 1, 2)","(1, 0, 2, 12)"
1,1,2,0,0,2,448.269747385428,454.24414102675195,"(1, 1, 2)","(0, 0, 2, 12)"
0,1,2,2,0,2,448.3723484342932,455.34247434917114,"(0, 1, 2)","(2, 0, 2, 12)"
1,2,2,1,1,1,449.09763797923677,454.7642718542354,"(1, 2, 2)","(1, 1, 1, 12)"
1,1,2,1,0,2,449.60710376023764,456.5772296751156,"(1, 1, 2)","(1, 0, 2, 12)"
1,1,2,2,0,2,449.6460644262262,457.6119226146581,"(1, 1, 2)","(2, 0, 2, 12)"
2,1,2,2,0,2,449.7857216401534,458.7473121021393,"(2, 1, 2)","(2, 0, 2, 12)"
2,1,2,0,1,1,450.15742557052516,456.1318192118491,"(2, 1, 2)","(0, 1, 1, 12)"
0,1,2,0,0,2,451.12519565940926,456.10385702717923,"(0, 1, 2)","(0, 0, 2, 12)"
0,1,2,1,0,2,451.92656321316895,457.9009568544929,"(0, 1, 2)","(1, 0, 2, 12)"
2,1,2,1,1,1,452.1285506391055,459.09867655398347,"(2, 1, 2)","(1, 1, 1, 12)"
0,1,2,0,1,1,452.5568076384951,456.5397367327111,"(0, 1, 2)","(0, 1, 1, 12)"
1,1,2,0,1,1,452.7447880784131,457.72344944618305,"(1, 1, 2)","(0, 1, 1, 12)"
0,1,2,1,1,1,454.5433096052714,459.5219709730414,"(0, 1, 2)","(1, 1, 1, 12)"
2,2,2,2,0,0,455.9187346604345,462.88886057531244,"(2, 2, 2)","(2, 0, 0, 12)"
1,1,2,1,1,1,456.0245890287379,461.9989826700619,"(1, 1, 2)","(1, 1, 1, 12)"
2,2,2,0,2,0,457.3837752383807,462.1059701342129,"(2, 2, 2)","(0, 2, 0, 12)"
2,2,1,0,0,2,459.1585520429041,465.13294568422805,"(2, 2, 1)","(0, 0, 2, 12)"
2,2,1,2,0,0,459.18884087033217,465.1632345116561,"(2, 2, 1)","(2, 0, 0, 12)"
2,2,1,1,0,2,461.0220631291162,467.99218904399413,"(2, 2, 1)","(1, 0, 2, 12)"
2,2,2,1,1,0,461.38794648715685,467.3623401284808,"(2, 2, 2)","(1, 1, 0, 12)"
0,2,1,0,0,2,462.25796897234005,466.24089806655604,"(0, 2, 1)","(0, 0, 2, 12)"
2,2,1,0,1,1,462.261962686404,467.24062405417396,"(2, 2, 1)","(0, 1, 1, 12)"
2,2,1,1,1,0,462.41914318345647,467.39780455122644,"(2, 2, 1)","(1, 1, 0, 12)"
1,2,2,0,2,0,462.46125785191646,466.2390137685822,"(1, 2, 2)","(0, 2, 0, 12)"
1,2,1,0,0,2,463.7708145564286,468.7494759241986,"(1, 2, 1)","(0, 0, 2, 12)"
2,2,0,2,0,0,464.08826782125186,469.06692918902183,"(2, 2, 0)","(2, 0, 0, 12)"
2,2,1,1,1,1,464.2330368555416,470.2074304968656,"(2, 2, 1)","(1, 1, 1, 12)"
0,2,1,1,0,2,464.24649424809184,469.2251556158618,"(0, 2, 1)","(1, 0, 2, 12)"
0,2,1,2,0,2,464.7776914553386,470.75208509666254,"(0, 2, 1)","(2, 0, 2, 12)"
0,2,1,0,1,1,464.7864554288359,467.77365224949784,"(0, 2, 1)","(0, 1, 1, 12)"
0,2,2,0,2,0,465.82313991379846,468.6564568512978,"(0, 2, 2)","(0, 2, 0, 12)"
1,2,1,0,1,1,465.8764110505427,469.8593401447587,"(1, 2, 1)","(0, 1, 1, 12)"
2,2,1,2,0,2,466.2145113440606,474.18036953249253,"(2, 2, 1)","(2, 0, 2, 12)"
0,2,1,1,1,1,466.4851527573743,470.4680818515903,"(0, 2, 1)","(1, 1, 1, 12)"
1,2,1,1,1,1,467.654857573934,472.633518941704,"(1, 2, 1)","(1, 1, 1, 12)"
2,2,0,2,0,2,467.88374056333,474.8538664782079,"(2, 2, 0)","(2, 0, 2, 12)"
1,2,1,1,0,2,468.6318016085394,474.60619524986333,"(1, 2, 1)","(1, 0, 2, 12)"
2,1,1,0,0,2,469.9065881981815,476.17372282452203,"(2, 1, 1)","(0, 0, 2, 12)"
1,2,1,2,0,2,470.0612741914464,477.0314001063243,"(1, 2, 1)","(2, 0, 2, 12)"
1,1,2,0,2,0,471.23939898132176,475.22232807553775,"(1, 1, 2)","(0, 2, 0, 12)"
2,0,2,0,0,2,471.39024158156127,478.70189864562525,"(2, 0, 2)","(0, 0, 2, 12)"
0,1,2,0,2,0,471.53671178811754,474.5239086087795,"(0, 1, 2)","(0, 2, 0, 12)"
1,0,2,0,0,2,471.573189580732,477.8403242070725,"(1, 0, 2)","(0, 0, 2, 12)"
2,2,0,1,1,1,471.6555129778256,476.63417434559557,"(2, 2, 0)","(1, 1, 1, 12)"
2,1,1,1,0,2,471.8468221414083,479.1584792054723,"(2, 1, 1)","(1, 0, 2, 12)"
2,1,0,2,0,0,471.96763522288063,477.19024741149775,"(2, 1, 0)","(2, 0, 0, 12)"
2,2,0,1,1,0,472.02524923525857,476.00817832947456,"(2, 2, 0)","(1, 1, 0, 12)"
2,1,0,2,0,2,472.0969738508649,479.4086309149289,"(2, 1, 0)","(2, 0, 2, 12)"
2,0,2,1,0,2,472.2517265791589,480.6079060809463,"(2, 0, 2)","(1, 0, 2, 12)"
1,0,2,1,0,2,473.44658048316234,480.7582375472263,"(1, 0, 2)","(1, 0, 2, 12)"
2,0,2,2,0,2,473.66774895402625,483.06845089353703,"(2, 0, 2)","(2, 0, 2, 12)"
2,1,1,2,0,2,473.75755510990524,482.1137346116926,"(2, 1, 1)","(2, 0, 2, 12)"
0,1,1,1,0,2,473.7956297210791,479.0182419096962,"(0, 1, 1)","(1, 0, 2, 12)"
2,1,1,2,0,0,473.86811533076286,480.1352499571034,"(2, 1, 1)","(2, 0, 0, 12)"
2,1,1,0,1,1,474.2131866163055,479.4357988049226,"(2, 1, 1)","(0, 1, 1, 12)"
0,1,1,0,0,2,474.21946212373587,478.3975518746296,"(0, 1, 1)","(0, 0, 2, 12)"
0,1,1,2,0,2,474.39281052328715,480.6599451496277,"(0, 1, 1)","(2, 0, 2, 12)"
2,1,2,1,1,0,474.4954873366375,480.762621962978,"(2, 1, 2)","(1, 1, 0, 12)"
2,1,2,0,2,0,474.6296964077549,479.6083577755249,"(2, 1, 2)","(0, 2, 0, 12)"
2,1,1,1,1,0,474.79575137176073,480.01836356037785,"(2, 1, 1)","(1, 1, 0, 12)"
1,1,1,2,0,2,475.389861519077,482.70151858314097,"(1, 1, 1)","(2, 0, 2, 12)"
1,1,1,1,0,2,475.39014627996363,481.65728090630415,"(1, 1, 1)","(1, 0, 2, 12)"
1,0,2,2,0,2,475.43414606620775,483.7903255679951,"(1, 0, 2)","(2, 0, 2, 12)"
2,1,2,2,0,0,475.55933141659807,482.87098848066205,"(2, 1, 2)","(2, 0, 0, 12)"
2,1,1,1,1,1,475.93785994032714,482.20499456666766,"(2, 1, 1)","(1, 1, 1, 12)"
1,1,1,0,0,2,476.1472849693009,481.36989715791805,"(1, 1, 1)","(0, 0, 2, 12)"
1,0,2,1,1,1,476.44150356707826,482.7086381934188,"(1, 0, 2)","(1, 1, 1, 12)"
1,0,2,0,1,1,477.00836752294816,482.2309797115653,"(1, 0, 2)","(0, 1, 1, 12)"
2,0,2,0,1,1,477.64854274578215,483.9156773721227,"(2, 0, 2)","(0, 1, 1, 12)"
1,1,1,0,1,1,477.9570142858742,482.1351040367679,"(1, 1, 1)","(0, 1, 1, 12)"
0,1,1,0,1,1,478.07723726696867,481.2108045801389,"(0, 1, 1)","(0, 1, 1, 12)"
0,1,1,1,1,1,478.3358221177507,482.5139118686444,"(0, 1, 1)","(1, 1, 1, 12)"
2,2,1,0,2,0,479.4445634071228,483.4274925013388,"(2, 2, 1)","(0, 2, 0, 12)"
2,0,2,1,1,1,479.64004288402504,486.951699948089,"(2, 0, 2)","(1, 1, 1, 12)"
1,1,1,1,1,1,479.9558142007064,485.17842638932353,"(1, 1, 1)","(1, 1, 1, 12)"
2,1,0,1,1,0,481.72327187453504,485.90136162542876,"(2, 1, 0)","(1, 1, 0, 12)"
0,2,1,0,2,0,482.277625884047,484.26909043115495,"(0, 2, 1)","(0, 2, 0, 12)"
2,1,0,1,1,1,482.5549719509103,487.77758413952745,"(2, 1, 0)","(1, 1, 1, 12)"
0,0,2,1,1,1,483.1394840227366,488.36209621135373,"(0, 0, 2)","(1, 1, 1, 12)"
1,2,1,0,2,0,483.2151260042497,486.2023228249117,"(1, 2, 1)","(0, 2, 0, 12)"
2,2,0,0,2,0,483.40126286457735,486.3884596852393,"(2, 2, 0)","(0, 2, 0, 12)"
1,2,1,2,0,0,485.94979406902064,491.17240625763776,"(1, 2, 1)","(2, 0, 0, 12)"
2,2,0,0,0,2,487.57315115599494,492.79576334461206,"(2, 2, 0)","(0, 0, 2, 12)"
0,0,2,0,1,1,488.8758301333399,493.0539198842336,"(0, 0, 2)","(0, 1, 1, 12)"
1,2,1,1,1,0,489.09678601812243,493.27487576901615,"(1, 2, 1)","(1, 1, 0, 12)"
2,2,0,1,0,2,489.4971735276874,495.7643081540279,"(2, 2, 0)","(1, 0, 2, 12)"
1,2,2,2,0,0,490.4140911111298,496.6812257374703,"(1, 2, 2)","(2, 0, 0, 12)"
0,0,2,0,2,0,490.85190218847174,493.985469501642,"(0, 0, 2)","(0, 2, 0, 12)"
1,0,2,0,2,0,492.8426013028068,497.02069105370055,"(1, 0, 2)","(0, 2, 0, 12)"
1,2,2,1,1,0,493.64592858537196,498.8685407739891,"(1, 2, 2)","(1, 1, 0, 12)"
1,0,1,0,0,2,493.9176971307172,499.3729093975088,"(1, 0, 1)","(0, 0, 2, 12)"
2,2,0,0,1,1,494.4895198318437,498.66760958273744,"(2, 2, 0)","(0, 1, 1, 12)"
2,0,2,0,2,0,494.6381038382705,499.86071602688764,"(2, 0, 2)","(0, 2, 0, 12)"
2,0,1,0,0,2,494.9982781844072,501.54453290455706,"(2, 0, 1)","(0, 0, 2, 12)"
2,0,2,2,0,1,495.1515068610748,503.87984648794134,"(2, 0, 2)","(2, 0, 1, 12)"
2,1,0,0,0,2,495.2113059046661,500.6665181714577,"(2, 1, 0)","(0, 0, 2, 12)"
2,1,0,0,2,0,495.7836281290938,498.9171954422641,"(2, 1, 0)","(0, 2, 0, 12)"
1,0,1,1,0,2,495.9136977152696,502.4599524354195,"(1, 0, 1)","(1, 0, 2, 12)"
2,0,1,2,0,2,496.05456774711405,504.7829073739806,"(2, 0, 1)","(2, 0, 2, 12)"
2,1,0,1,0,2,496.170312053268,502.71656677341787,"(2, 1, 0)","(1, 0, 2, 12)"
2,0,1,2,0,0,496.8137722988175,503.3600270189674,"(2, 0, 1)","(2, 0, 0, 12)"
1,1,1,0,2,0,496.9483960720003,500.0819633851706,"(1, 1, 1)","(0, 2, 0, 12)"
2,0,1,1,0,2,496.97602751737486,504.6133246908831,"(2, 0, 1)","(1, 0, 2, 12)"
1,2,0,2,0,0,497.21547540891225,501.393565159806,"(1, 2, 0)","(2, 0, 0, 12)"
1,0,1,2,0,2,497.3311546518422,504.9684518253504,"(1, 0, 1)","(2, 0, 2, 12)"
1,2,0,0,0,2,497.34173020936447,501.5198199602582,"(1, 2, 0)","(0, 0, 2, 12)"
1,1,2,1,1,0,497.41689226233655,502.87210452912814,"(1, 1, 2)","(1, 1, 0, 12)"
0,2,0,0,1,1,497.4755150678873,499.56455994333413,"(0, 2, 0)","(0, 1, 1, 12)"
0,2,0,0,0,2,497.5146408182895,500.64820813145974,"(0, 2, 0)","(0, 0, 2, 12)"
2,1,1,0,2,0,497.7078684904109,501.8859582413046,"(2, 1, 1)","(0, 2, 0, 12)"
0,1,1,0,2,0,498.06891683070296,500.1579617061498,"(0, 1, 1)","(0, 2, 0, 12)"
1,2,0,0,1,1,498.33074979544034,501.4643171086106,"(1, 2, 0)","(0, 1, 1, 12)"
2,0,2,1,1,0,499.08295891482805,505.62921363497793,"(2, 0, 2)","(1, 1, 0, 12)"
2,0,0,2,0,0,499.094174333189,504.5493865999806,"(2, 0, 0)","(2, 0, 0, 12)"
1,0,1,0,1,1,499.11967403518565,503.4838438486189,"(1, 0, 1)","(0, 1, 1, 12)"
1,1,0,1,0,2,499.2349128435421,504.69012511033367,"(1, 1, 0)","(1, 0, 2, 12)"
0,2,0,1,0,2,499.30909202861835,503.48718177951207,"(0, 2, 0)","(1, 0, 2, 12)"
0,2,0,1,1,1,499.32189365443696,502.4554609676072,"(0, 2, 0)","(1, 1, 1, 12)"
1,2,0,1,0,2,499.3385637512123,504.5611759398294,"(1, 2, 0)","(1, 0, 2, 12)"
1,1,1,1,1,0,499.8559770234654,504.22014683689866,"(1, 1, 1)","(1, 1, 0, 12)"
2,0,1,0,1,1,499.97416957271963,505.4293818395112,"(2, 0, 1)","(0, 1, 1, 12)"
1,2,0,1,1,1,500.22670690243797,504.4047966533317,"(1, 2, 0)","(1, 1, 1, 12)"
1,1,0,2,0,2,500.2360053863896,506.78226010653947,"(1, 1, 0)","(2, 0, 2, 12)"
0,1,0,1,0,2,500.26462172754043,504.6287915409737,"(0, 1, 0)","(1, 0, 2, 12)"
1,2,0,1,1,0,500.3126214750018,503.44618878817204,"(1, 2, 0)","(1, 1, 0, 12)"
1,2,0,2,0,2,500.3951130106987,506.66224763703923,"(1, 2, 0)","(2, 0, 2, 12)"
2,0,0,2,0,1,500.86571380168544,507.4119685218353,"(2, 0, 0)","(2, 0, 1, 12)"
0,1,0,0,0,2,500.8792457419616,504.15237310203656,"(0, 1, 0)","(0, 0, 2, 12)"
1,1,0,0,0,2,500.9869705210428,505.35114033447604,"(1, 1, 0)","(0, 0, 2, 12)"
2,0,0,2,0,2,501.04369572961593,508.68099290312415,"(2, 0, 0)","(2, 0, 2, 12)"
2,0,2,2,0,0,501.0835532463262,508.7208504198344,"(2, 0, 2)","(2, 0, 0, 12)"
1,0,1,1,1,1,501.1150371593466,506.5702494261382,"(1, 0, 1)","(1, 1, 1, 12)"
0,2,0,2,0,2,501.24362460468257,506.4662367932997,"(0, 2, 0)","(2, 0, 2, 12)"
1,1,2,2,0,0,501.2582264979144,507.80448121806427,"(1, 1, 2)","(2, 0, 0, 12)"
1,1,1,2,0,0,501.41619918926307,506.87141145605466,"(1, 1, 1)","(2, 0, 0, 12)"
0,1,0,2,0,2,501.8772031393255,507.3324154061171,"(0, 1, 0)","(2, 0, 2, 12)"
2,0,1,1,1,1,501.97417101282144,508.5204257329713,"(2, 0, 1)","(1, 1, 1, 12)"
2,0,1,2,0,1,502.1779635048577,509.8152606783659,"(2, 0, 1)","(2, 0, 1, 12)"
1,1,0,2,0,0,503.0442332876259,507.40840310105915,"(1, 1, 0)","(2, 0, 0, 12)"
2,1,0,0,1,1,503.0575605162495,507.42173032968276,"(2, 1, 0)","(0, 1, 1, 12)"
0,2,2,2,0,0,503.45286013497315,508.90807240176474,"(0, 2, 2)","(2, 0, 0, 12)"
2,0,0,1,1,1,505.1174439295152,510.5726561963068,"(2, 0, 0)","(1, 1, 1, 12)"
0,1,0,0,1,1,505.85521081205735,508.037295718774,"(0, 1, 0)","(0, 1, 1, 12)"
0,2,1,2,0,0,506.12708421849936,510.4912540319326,"(0, 2, 1)","(2, 0, 0, 12)"
0,2,2,1,1,0,506.35192343595037,510.7160932493836,"(0, 2, 2)","(1, 1, 0, 12)"
0,0,1,1,1,1,507.01031780978934,511.3744876232226,"(0, 0, 1)","(1, 1, 1, 12)"
1,1,0,0,1,1,507.3299360428499,510.6030634029249,"(1, 1, 0)","(0, 1, 1, 12)"
0,1,0,1,1,1,507.8331542433722,511.10628160344714,"(0, 1, 0)","(1, 1, 1, 12)"
1,1,0,1,1,0,507.8593104678885,511.1324378279635,"(1, 1, 0)","(1, 1, 0, 12)"
2,0,0,1,1,0,508.33982071917836,512.7039905326117,"(2, 0, 0)","(1, 1, 0, 12)"
1,1,0,1,1,1,509.3204814030234,513.6846512164567,"(1, 1, 0)","(1, 1, 1, 12)"
2,0,1,1,1,0,509.8310263805133,515.2862386473049,"(2, 0, 1)","(1, 1, 0, 12)"
0,2,1,1,1,0,510.0215369449268,513.2946643050018,"(0, 2, 1)","(1, 1, 0, 12)"
0,0,1,0,1,1,510.54203164574017,513.8151590058151,"(0, 0, 1)","(0, 1, 1, 12)"
0,0,1,0,2,0,515.229708108782,517.4117930154987,"(0, 0, 1)","(0, 2, 0, 12)"
1,0,2,2,0,0,516.3841419040472,523.1971071996221,"(1, 0, 2)","(2, 0, 0, 12)"
1,2,0,0,2,0,517.394387195807,519.4834320712538,"(1, 2, 0)","(0, 2, 0, 12)"
2,0,0,0,2,0,517.5308768270247,520.8040041870996,"(2, 0, 0)","(0, 2, 0, 12)"
1,0,1,0,2,0,517.7248340130948,520.9979613731697,"(1, 0, 1)","(0, 2, 0, 12)"
0,2,0,2,0,0,518.7587855847632,522.0319129448382,"(0, 2, 0)","(2, 0, 0, 12)"
2,0,1,0,2,0,519.3926711521706,523.7568409656038,"(2, 0, 1)","(0, 2, 0, 12)"
0,1,2,1,1,0,519.4064590900213,523.9484359537379,"(0, 1, 2)","(1, 1, 0, 12)"
1,0,2,2,0,1,520.0737955526947,528.0222550641988,"(1, 0, 2)","(2, 0, 1, 12)"
1,0,2,1,1,0,520.3380045265426,526.0154756061884,"(1, 0, 2)","(1, 1, 0, 12)"
0,1,1,1,1,0,520.6892764550482,524.0957591028357,"(0, 1, 1)","(1, 1, 0, 12)"
0,1,2,2,0,0,521.0388159287079,526.7162870083536,"(0, 1, 2)","(2, 0, 0, 12)"
1,0,1,1,1,0,521.6856245060296,526.2276013697463,"(1, 0, 1)","(1, 1, 0, 12)"
0,2,0,0,2,0,522.0367402733947,523.0812627111181,"(0, 2, 0)","(0, 2, 0, 12)"
2,0,0,1,0,2,522.339152817188,529.152118112763,"(2, 0, 0)","(1, 0, 2, 12)"
0,1,1,2,0,0,522.3747133926832,526.9166902563999,"(0, 1, 1)","(2, 0, 0, 12)"
0,1,0,2,0,0,522.6728404567034,526.0793231044909,"(0, 1, 0)","(2, 0, 0, 12)"
1,0,0,1,0,2,523.5705923307708,529.2480634104165,"(1, 0, 0)","(1, 0, 2, 12)"
1,0,0,0,0,2,523.9127421350294,528.454718998746,"(1, 0, 0)","(0, 0, 2, 12)"
2,0,0,0,0,2,524.1229746799002,529.8004457595459,"(2, 0, 0)","(0, 0, 2, 12)"
0,2,0,1,1,0,524.2308145099324,526.4128994166491,"(0, 2, 0)","(1, 1, 0, 12)"
1,0,0,2,0,0,524.2460959956292,528.7880728593458,"(1, 0, 0)","(2, 0, 0, 12)"
1,1,0,0,2,0,524.4241704078222,526.6062553145389,"(1, 1, 0)","(0, 2, 0, 12)"
1,0,1,2,0,1,524.541628598191,531.3545938937659,"(1, 0, 1)","(2, 0, 1, 12)"
1,0,0,2,0,1,524.8261929668976,530.5036640465433,"(1, 0, 0)","(2, 0, 1, 12)"
1,0,0,2,0,2,525.0814282030225,531.8943934985974,"(1, 0, 0)","(2, 0, 2, 12)"
0,1,0,0,2,0,525.4838542959675,526.5748967493258,"(0, 1, 0)","(0, 2, 0, 12)"
1,0,1,2,0,0,525.6275013636896,531.3049724433354,"(1, 0, 1)","(2, 0, 0, 12)"
1,0,0,1,1,1,526.471265641984,531.0132425057006,"(1, 0, 0)","(1, 1, 1, 12)"
0,0,0,1,1,1,527.4872622410659,530.8937448888533,"(0, 0, 0)","(1, 1, 1, 12)"
